id_student,code_module,code_presentation,sum_click,gender,region,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,final_result
34653,DDD,2013J,213,M,East Midlands Region,Lower Than A Level,30-40%,0-35,0,60,N,Fail
34662,BBB,2014J,218,F,South West Region,A Level or Equivalent,60-70%,35-55,0,60,N,Withdrawn
34731,FFF,2013J,681,M,East Anglian Region,A Level or Equivalent,20-30%,0-35,0,60,N,Withdrawn
34756,BBB,2013B,129,F,East Midlands Region,Lower Than A Level,10-20,0-35,1,150,N,Withdrawn
34863,BBB,2013B,198,F,London Region,A Level or Equivalent,50-60%,0-35,0,60,N,Pass
35001,GGG,2013J,77,F,East Midlands Region,Lower Than A Level,70-80%,35-55,0,30,N,Fail
35340,EEE,2014B,1812,M,South Region,A Level or Equivalent,50-60%,0-35,0,60,N,Pass
35355,CCC,2014J,1116,M,Wales,Lower Than A Level,0-10%,35-55,0,30,N,Withdrawn
35355,EEE,2013J,2242,M,Wales,Lower Than A Level,0-10%,35-55,0,30,N,Pass
35502,DDD,2014B,545,M,West Midlands Region,HE Qualification,30-40%,0-35,0,60,N,Withdrawn
35508,CCC,2014J,1142,M,South West Region,A Level or Equivalent,90-100%,0-35,0,30,N,Pass
35508,EEE,2014B,2270,M,South West Region,A Level or Equivalent,90-100%,0-35,0,30,N,Distinction
35544,FFF,2013B,2107,M,Wales,A Level or Equivalent,80-90%,35-55,0,60,N,Pass
35747,FFF,2014J,653,M,North Western Region,A Level or Equivalent,0-10%,35-55,0,120,N,Withdrawn
35796,FFF,2014J,602,M,Wales,A Level or Equivalent,20-30%,0-35,0,60,N,Fail
35812,BBB,2013B,19,F,East Anglian Region,Lower Than A Level,30-40%,0-35,0,60,N,Fail
35860,FFF,2013B,2215,M,South West Region,A Level or Equivalent,10-20,0-35,0,60,N,Pass
36347,FFF,2014B,2161,M,North Western Region,Lower Than A Level,10-20,0-35,0,120,N,Pass
36385,FFF,2013B,1355,M,West Midlands Region,Lower Than A Level,70-80%,0-35,0,120,Y,Withdrawn
37298,FFF,2013B,2097,M,Ireland,HE Qualification,?,0-35,0,120,N,Pass
37622,BBB,2013J,470,F,Scotland,HE Qualification,80-90%,0-35,1,120,N,Pass
37652,CCC,2014J,885,F,London Region,HE Qualification,20-30%,35-55,0,50,N,Distinction
38053,AAA,2013J,2445,M,Wales,A Level or Equivalent,80-90%,35-55,0,60,N,Pass
38234,BBB,2013J,94,F,East Midlands Region,A Level or Equivalent,60-70%,0-35,0,60,N,Fail
38711,BBB,2014J,169,M,West Midlands Region,Lower Than A Level,0-10%,35-55,0,60,Y,Withdrawn
39208,BBB,2014J,2067,F,Wales,A Level or Equivalent,90-100%,35-55,0,120,N,Pass
39411,DDD,2013J,164,F,West Midlands Region,Lower Than A Level,0-10%,0-35,0,60,N,Fail
39427,DDD,2013J,93,F,South Region,A Level or Equivalent,90-100%,0-35,0,60,N,Withdrawn
39655,BBB,2013B,432,F,Scotland,Lower Than A Level,50-60%,0-35,0,120,N,Distinction
39660,DDD,2014B,630,F,North Western Region,Lower Than A Level,0-10%,0-35,0,120,N,Fail
39882,FFF,2014B,1761,F,Scotland,A Level or Equivalent,80-90%,0-35,1,120,N,Pass
40184,DDD,2013J,1876,M,Wales,HE Qualification,30-40%,55<=,0,60,N,Distinction
40333,CCC,2014B,174,M,North Region,HE Qualification,0-10%,35-55,0,30,N,Withdrawn
40419,DDD,2013B,144,M,East Midlands Region,Lower Than A Level,20-30%,35-55,0,60,N,Withdrawn
40419,DDD,2013J,560,M,East Midlands Region,Lower Than A Level,20-30%,35-55,1,60,N,Pass
40508,EEE,2013J,91,M,West Midlands Region,A Level or Equivalent,40-50%,35-55,0,90,N,Withdrawn
40563,DDD,2013J,584,F,South East Region,A Level or Equivalent,0-10%,0-35,0,60,N,Pass
40604,CCC,2014B,465,M,Ireland,A Level or Equivalent,?,35-55,0,30,N,Pass
40857,FFF,2014J,304,F,North Western Region,A Level or Equivalent,30-40%,0-35,0,120,Y,Withdrawn
40878,FFF,2014J,2455,M,North Western Region,Lower Than A Level,0-10%,0-35,0,120,N,Distinction
41060,DDD,2013B,411,M,Ireland,HE Qualification,70-80%,0-35,0,60,N,Fail
41414,GGG,2014B,965,F,West Midlands Region,Lower Than A Level,0-10%,0-35,0,30,Y,Pass
41489,FFF,2014B,53,F,East Anglian Region,Lower Than A Level,20-30%,0-35,0,60,N,Fail
41547,BBB,2014J,1007,F,Yorkshire Region,A Level or Equivalent,40-50%,0-35,0,60,N,Pass
42552,FFF,2014J,5079,F,East Anglian Region,A Level or Equivalent,80-90%,0-35,0,90,N,Pass
42616,FFF,2013J,4093,F,Scotland,Lower Than A Level,80-90%,35-55,0,60,N,Pass
42638,CCC,2014B,5659,M,Scotland,HE Qualification,90-100%,35-55,0,60,N,Pass
42638,EEE,2013J,6186,M,Scotland,HE Qualification,90-100%,35-55,0,60,N,Pass
42668,FFF,2013B,2839,M,London Region,Lower Than A Level,10-20,35-55,1,120,N,Pass
42746,CCC,2014J,2403,F,South Region,HE Qualification,50-60%,35-55,0,60,N,Distinction
42746,FFF,2014B,8270,F,South Region,HE Qualification,50-60%,35-55,0,60,N,Distinction
42818,DDD,2013J,200,F,East Anglian Region,Lower Than A Level,40-50%,0-35,0,180,Y,Fail
43273,FFF,2013B,1862,M,East Midlands Region,HE Qualification,60-70%,35-55,0,90,N,Pass
43284,DDD,2013B,847,M,East Midlands Region,Lower Than A Level,80-90%,0-35,2,180,N,Withdrawn
43430,FFF,2013B,5693,M,South West Region,A Level or Equivalent,50-60%,35-55,0,60,N,Pass
43564,EEE,2013J,2334,M,Scotland,HE Qualification,80-90%,35-55,0,60,N,Pass
43958,FFF,2013J,2220,M,Wales,A Level or Equivalent,90-100%,35-55,0,60,N,Withdrawn
43958,FFF,2014J,1098,M,Wales,A Level or Equivalent,90-100%,35-55,1,60,N,Fail
45423,FFF,2014J,4383,M,South West Region,Lower Than A Level,70-80%,35-55,0,60,N,Fail
45462,AAA,2013J,1492,M,Scotland,HE Qualification,30-40%,0-35,0,60,N,Pass
45642,AAA,2013J,1428,F,North Western Region,A Level or Equivalent,90-100%,0-35,0,120,N,Pass
45664,CCC,2014B,397,M,Yorkshire Region,HE Qualification,60-70%,0-35,0,60,N,Withdrawn
45664,DDD,2013B,1048,M,Yorkshire Region,HE Qualification,60-70%,0-35,1,60,N,Pass
46016,DDD,2014J,389,M,North Western Region,Lower Than A Level,40-50%,0-35,0,60,N,Withdrawn
46048,EEE,2014J,12,M,East Anglian Region,A Level or Equivalent,80-90%,35-55,0,30,N,Withdrawn
46148,FFF,2014B,3724,M,North Western Region,A Level or Equivalent,10-20,35-55,0,60,N,Pass
46605,CCC,2014B,3427,M,East Anglian Region,HE Qualification,60-70%,35-55,0,60,N,Distinction
46705,CCC,2014J,1149,M,Ireland,HE Qualification,?,35-55,0,60,N,Fail
46753,DDD,2014B,1779,F,East Anglian Region,A Level or Equivalent,60-70%,35-55,0,60,N,Pass
46812,DDD,2014J,141,F,North Region,Lower Than A Level,0-10%,0-35,1,180,Y,Withdrawn
46844,AAA,2014J,340,M,North Region,HE Qualification,30-40%,35-55,0,60,N,Pass
47061,EEE,2014J,347,M,East Midlands Region,A Level or Equivalent,90-100%,0-35,0,30,N,Pass
47063,DDD,2013J,137,M,London Region,HE Qualification,40-50%,35-55,0,120,N,Withdrawn
47855,BBB,2013J,12,F,Scotland,Lower Than A Level,10-20,35-55,3,300,N,Withdrawn
47861,FFF,2014J,8757,M,South East Region,A Level or Equivalent,50-60%,0-35,0,60,Y,Pass
47891,BBB,2014J,118,F,Wales,Lower Than A Level,10-20,0-35,4,60,N,Fail
47924,FFF,2013J,34,M,West Midlands Region,Lower Than A Level,0-10%,35-55,0,60,N,Fail
48040,BBB,2013J,1829,F,East Midlands Region,A Level or Equivalent,20-30%,35-55,0,120,N,Pass
48152,DDD,2013J,528,F,East Anglian Region,A Level or Equivalent,70-80%,0-35,0,120,N,Pass
48503,BBB,2013J,434,F,West Midlands Region,Lower Than A Level,10-20,0-35,0,60,N,Pass
48635,CCC,2014J,592,M,South Region,HE Qualification,90-100%,0-35,0,120,N,Withdrawn
48635,FFF,2014B,4406,M,South Region,HE Qualification,90-100%,0-35,0,60,N,Pass
49119,CCC,2014B,2014,M,Ireland,HE Qualification,?,0-35,0,90,N,Distinction
49119,DDD,2014B,254,M,Ireland,HE Qualification,?,0-35,0,90,N,Withdrawn
49123,GGG,2014B,1362,M,Yorkshire Region,Lower Than A Level,50-60%,0-35,0,30,N,Pass
49670,FFF,2013J,33,M,North Region,A Level or Equivalent,0-10%,0-35,0,60,N,Withdrawn
50069,BBB,2014B,531,F,Scotland,A Level or Equivalent,30-40%,0-35,0,90,N,Fail
50263,CCC,2014B,425,M,West Midlands Region,HE Qualification,80-90%,35-55,0,60,N,Withdrawn
50263,FFF,2013B,5863,M,West Midlands Region,HE Qualification,80-90%,35-55,0,60,N,Pass
50476,DDD,2014B,568,F,South West Region,HE Qualification,0-10%,0-35,0,60,N,Distinction
50487,FFF,2013J,5021,F,East Anglian Region,Lower Than A Level,90-100%,0-35,1,60,N,Pass
50610,DDD,2013J,13,F,East Anglian Region,A Level or Equivalent,50-60%,0-35,1,70,Y,Fail
50993,BBB,2013B,176,F,Scotland,Lower Than A Level,0-10%,0-35,0,60,Y,Fail
51030,DDD,2014B,804,M,West Midlands Region,A Level or Equivalent,60-70%,0-35,0,60,N,Pass
51033,DDD,2014J,913,F,South Region,A Level or Equivalent,80-90%,0-35,0,60,N,Pass
51153,DDD,2014J,1179,F,East Midlands Region,HE Qualification,30-40%,35-55,0,60,N,Pass
51163,DDD,2013J,1167,M,London Region,HE Qualification,20-30%,35-55,0,60,N,Pass
51301,BBB,2013J,670,F,Wales,Lower Than A Level,30-40%,0-35,2,60,Y,Withdrawn
51485,FFF,2013J,2750,M,West Midlands Region,Lower Than A Level,10-20,0-35,0,120,N,Distinction
51576,CCC,2014B,371,F,London Region,Lower Than A Level,10-20,0-35,0,90,N,Withdrawn
51576,CCC,2014J,428,F,London Region,Lower Than A Level,10-20,0-35,1,60,N,Withdrawn
51576,FFF,2013J,5302,F,London Region,Lower Than A Level,10-20,0-35,0,90,N,Distinction
51955,DDD,2014J,405,M,Scotland,A Level or Equivalent,80-90%,0-35,0,60,Y,Fail
52014,DDD,2013B,349,F,Wales,Lower Than A Level,0-10%,35-55,2,120,N,Fail
52130,AAA,2013J,1894,F,East Anglian Region,A Level or Equivalent,70-80%,0-35,0,90,N,Pass
52275,FFF,2014J,91,M,London Region,No Formal quals,0-10%,0-35,0,90,N,Fail
52426,BBB,2014B,68,F,Scotland,Lower Than A Level,70-80%,35-55,1,60,N,Fail
52702,GGG,2014J,323,F,Scotland,Lower Than A Level,20-30%,35-55,0,30,N,Pass
52765,AAA,2014J,4938,F,Yorkshire Region,Lower Than A Level,0-10%,35-55,0,120,N,Pass
52797,BBB,2013J,1117,F,South West Region,Lower Than A Level,30-40%,35-55,1,60,N,Pass
52899,BBB,2013B,928,F,East Midlands Region,Lower Than A Level,50-60%,35-55,0,60,N,Withdrawn
52899,BBB,2013J,1540,F,East Midlands Region,Lower Than A Level,50-60%,35-55,1,90,N,Pass
53025,AAA,2013J,3158,M,North Region,Post Graduate Qualification,?,55<=,0,60,N,Pass
53136,FFF,2014B,3493,F,London Region,A Level or Equivalent,30-40%,0-35,1,120,N,Pass
53166,FFF,2013J,2861,F,North Region,Lower Than A Level,40-50%,0-35,0,60,N,Pass
53197,FFF,2013B,60,F,North Western Region,No Formal quals,0-10%,0-35,0,60,N,Fail
53236,BBB,2014J,43,F,Yorkshire Region,Lower Than A Level,60-70%,0-35,1,180,N,Withdrawn
53300,CCC,2014J,1957,M,West Midlands Region,A Level or Equivalent,90-100%,0-35,0,270,N,Distinction
53360,BBB,2013J,22,F,North Western Region,Lower Than A Level,10-20,35-55,1,120,N,Withdrawn
53488,DDD,2013B,1426,F,East Anglian Region,HE Qualification,90-100%,0-35,0,60,N,Pass
53626,FFF,2013J,39,M,Scotland,HE Qualification,30-40%,35-55,0,60,Y,Fail
53632,DDD,2014B,510,M,Wales,Lower Than A Level,90-100%,0-35,1,60,N,Withdrawn
53632,DDD,2014J,73,M,Wales,Lower Than A Level,90-100%,0-35,2,60,N,Fail
53709,FFF,2013B,1735,M,Wales,A Level or Equivalent,30-40%,0-35,0,60,N,Withdrawn
53709,FFF,2014B,1175,M,Wales,A Level or Equivalent,30-40%,0-35,1,60,N,Pass
53895,DDD,2013B,65,M,North Region,A Level or Equivalent,60-70%,35-55,1,60,N,Withdrawn
54062,CCC,2014J,147,M,East Anglian Region,A Level or Equivalent,30-40%,0-35,0,60,N,Withdrawn
54062,EEE,2013J,1477,M,East Anglian Region,A Level or Equivalent,30-40%,0-35,0,30,N,Distinction
54388,BBB,2013J,42,M,East Anglian Region,Lower Than A Level,0-10%,35-55,3,75,N,Withdrawn
54391,CCC,2014B,179,M,South West Region,Lower Than A Level,10-20,0-35,0,60,N,Withdrawn
54810,DDD,2014B,260,M,South Region,HE Qualification,40-50%,0-35,0,60,N,Withdrawn
54810,DDD,2014J,441,M,South Region,HE Qualification,40-50%,0-35,1,60,N,Pass
54867,FFF,2014B,604,F,South West Region,Lower Than A Level,20-30%,0-35,0,120,N,Fail
54882,FFF,2013J,498,M,Scotland,Lower Than A Level,30-40%,0-35,1,60,N,Fail
55013,FFF,2013J,604,M,North Region,A Level or Equivalent,10-20,0-35,0,120,N,Fail
55026,BBB,2013J,283,F,London Region,A Level or Equivalent,20-30%,35-55,0,60,Y,Pass
55104,AAA,2014J,1480,F,West Midlands Region,A Level or Equivalent,60-70%,0-35,0,60,N,Pass
55242,DDD,2013B,13,F,North Western Region,Lower Than A Level,30-40%,0-35,0,60,N,Fail
55419,FFF,2013J,275,M,South Region,A Level or Equivalent,90-100%,0-35,0,90,N,Withdrawn
55450,FFF,2013B,1195,M,South East Region,A Level or Equivalent,30-40%,35-55,1,120,N,Fail
55968,BBB,2014B,578,F,Wales,Lower Than A Level,10-20,0-35,0,120,N,Fail
56340,BBB,2013J,4,F,South Region,Lower Than A Level,20-30%,0-35,0,60,N,Fail
56637,FFF,2014J,5440,M,East Midlands Region,Lower Than A Level,50-60%,0-35,0,90,Y,Distinction
56667,FFF,2014J,853,M,Yorkshire Region,Lower Than A Level,40-50%,35-55,2,120,N,Fail
56789,BBB,2013J,379,F,South East Region,A Level or Equivalent,60-70%,35-55,1,60,N,Pass
57079,BBB,2013J,776,F,London Region,Lower Than A Level,30-40%,35-55,0,60,N,Fail
57227,DDD,2013J,1425,F,North Western Region,Lower Than A Level,60-70%,0-35,1,160,N,Pass
57285,BBB,2014J,283,F,London Region,A Level or Equivalent,0-10%,0-35,0,60,N,Pass
57340,CCC,2014B,1090,F,East Anglian Region,A Level or Equivalent,20-30%,0-35,0,120,N,Pass
57359,DDD,2013B,217,M,East Midlands Region,HE Qualification,40-50%,35-55,0,60,N,Withdrawn
57506,AAA,2013J,1319,M,South Region,Lower Than A Level,70-80%,35-55,0,60,N,Pass
57818,DDD,2013J,3037,M,Wales,A Level or Equivalent,80-90%,35-55,0,60,N,Pass
57844,FFF,2013J,1972,M,South West Region,A Level or Equivalent,90-100%,0-35,0,60,N,Pass
58071,AAA,2014J,3648,M,East Anglian Region,HE Qualification,90-100%,55<=,0,60,N,Pass
58077,FFF,2013J,37,M,North Region,Lower Than A Level,20-30%,0-35,1,60,N,Fail
58089,BBB,2013B,102,F,West Midlands Region,A Level or Equivalent,40-50%,0-35,2,90,N,Fail
58316,AAA,2014J,1295,F,Wales,A Level or Equivalent,70-80%,0-35,0,120,N,Pass
58549,FFF,2013B,2481,M,North Region,A Level or Equivalent,?,0-35,0,120,N,Distinction
58617,DDD,2014B,834,M,East Midlands Region,A Level or Equivalent,70-80%,0-35,0,60,N,Fail
58640,FFF,2013J,1784,M,Scotland,A Level or Equivalent,50-60%,0-35,0,90,Y,Pass
58653,BBB,2014J,383,F,North Western Region,Lower Than A Level,80-90%,35-55,1,120,N,Pass
58731,DDD,2014J,177,F,South West Region,A Level or Equivalent,40-50%,0-35,1,110,Y,Pass
58873,AAA,2013J,1732,F,East Anglian Region,A Level or Equivalent,20-30%,0-35,0,60,N,Pass
58884,FFF,2014J,5248,M,South Region,A Level or Equivalent,40-50%,35-55,0,90,Y,Distinction
59185,AAA,2013J,1102,M,East Anglian Region,Lower Than A Level,60-70%,35-55,0,60,N,Pass
59272,BBB,2014J,1425,F,South East Region,Lower Than A Level,60-70%,0-35,0,60,N,Pass
59275,DDD,2013J,522,M,Scotland,HE Qualification,40-50%,0-35,0,60,N,Fail
59370,DDD,2013J,2057,M,Ireland,A Level or Equivalent,0-10%,35-55,0,180,N,Pass
59541,CCC,2014B,441,M,East Anglian Region,A Level or Equivalent,40-50%,0-35,0,30,Y,Withdrawn
59725,BBB,2014B,859,F,Wales,HE Qualification,40-50%,35-55,0,120,N,Distinction
60135,DDD,2013B,2750,F,West Midlands Region,A Level or Equivalent,?,0-35,0,60,N,Pass
60162,GGG,2014J,764,F,London Region,A Level or Equivalent,30-40%,35-55,0,30,N,Pass
60405,GGG,2013J,852,F,Yorkshire Region,A Level or Equivalent,10-20,35-55,0,30,N,Distinction
60416,BBB,2014B,4983,F,East Anglian Region,Lower Than A Level,60-70%,0-35,1,60,N,Pass
60519,FFF,2013B,3198,F,London Region,A Level or Equivalent,0-10%,35-55,0,60,N,Withdrawn
60809,CCC,2014J,2519,M,South East Region,Lower Than A Level,90-100%,0-35,0,120,N,Pass
60809,EEE,2014J,2422,M,South East Region,Lower Than A Level,90-100%,0-35,0,120,N,Pass
60830,BBB,2014B,1365,F,South Region,HE Qualification,60-70%,0-35,0,120,N,Pass
61227,CCC,2014J,4642,F,East Anglian Region,Lower Than A Level,80-90%,0-35,0,30,Y,Pass
61236,CCC,2014J,506,M,South West Region,HE Qualification,50-60%,35-55,0,110,N,Withdrawn
61297,FFF,2014J,94,F,East Midlands Region,No Formal quals,0-10%,0-35,0,180,N,Withdrawn
61352,BBB,2014J,181,F,Yorkshire Region,A Level or Equivalent,0-10%,0-35,2,60,N,Withdrawn
61911,DDD,2014B,448,M,Wales,Lower Than A Level,50-60%,0-35,0,180,N,Fail
62034,EEE,2014J,1889,M,West Midlands Region,Lower Than A Level,50-60%,0-35,0,60,N,Pass
